user_id,age,user_preferences,destination_id,name,region,budget,attractions,best_season,popularity
1,28,cultural charm,1,Kandy,Central Province,10000,temples,January to February,4.8
2,42,beach leisure,2,Mirissa,Southern Province,6000,whale watching,December to April,4.5
3,31,wildlife,3,Yala,Uva Province,8000,safari parks,July to September,4.7
4,25,adventure,4,Ella,Uva Province,5000,hiking trails,March to May,4.9
5,45,history,5,Anuradhapura,North Central,7000,ancient ruins,June to September,4.4
6,29,nature,6,Nuwara Eliya,Central Province,9000,tea plantations,March to May,4.6
7,33,relaxation,7,Bentota,Southern Province,12000,beach resorts,December to April,4.3
8,38,photography,8,Sigiriya,Central Province,6500,rock fortress,July to September,4.8
9,27,surfing,9,Arugam Bay,Eastern Province,5500,surf spots,May to September,4.7
10,35,entertainment,10,Colombo,Western Province,4000,city life,year-round,4.6
11,28,cultural charm,11,Kandy,Central Province,10000,temples,January to February,4.8
12,42,beach leisure,12,Mirissa,Southern Province,6000,whale watching,December to April,4.5
13,31,wildlife,13,Yala,Uva Province,8000,safari parks,July to September,4.7
14,25,adventure,14,Ella,Uva Province,5000,hiking trails,March to May,4.9
15,45,history,15,Anuradhapura,North Central,7000,ancient ruins,June to September,4.4
16,29,nature,16,Nuwara Eliya,Central Province,9000,tea plantations,March to May,4.6
17,33,relaxation,17,Bentota,Southern Province,12000,beach resorts,December to April,4.3
18,38,photography,18,Sigiriya,Central Province,6500,rock fortress,July to September,4.8
19,27,surfing,19,Arugam Bay,Eastern Province,5500,surf spots,May to September,4.7
20,35,entertainment,20,Colombo,Western Province,4000,city life,year-round,4.6
21,28,cultural charm,21,Kandy,Central Province,10000,temples,January to February,4.8
22,42,beach leisure,22,Mirissa,Southern Province,6000,whale watching,December to April,4.5
23,31,wildlife,23,Yala,Uva Province,8000,safari parks,July to September,4.7
24,25,adventure,24,Ella,Uva Province,5000,hiking trails,March to May,4.9
25,45,history,25,Anuradhapura,North Central,7000,ancient ruins,June to September,4.4
26,29,nature,26,Nuwara Eliya,Central Province,9000,tea plantations,March to May,4.6
27,33,relaxation,27,Bentota,Southern Province,12000,beach resorts,December to April,4.3
28,38,photography,28,Sigiriya,Central Province,6500,rock fortress,July to September,4.8
29,27,surfing,29,Arugam Bay,Eastern Province,5500,surf spots,May to September,4.7
30,35,entertainment,30,Colombo,Western Province,4000,city life,year-round,4.6
31,28,cultural charm,31,Kandy,Central Province,10000,temples,January to February,4.8
32,42,beach leisure,32,Mirissa,Southern Province,6000,whale watching,December to April,4.5
33,31,wildlife,33,Yala,Uva Province,8000,safari parks,July to September,4.7
34,25,adventure,34,Ella,Uva Province,5000,hiking trails,March to May,4.9
35,45,history,35,Anuradhapura,North Central,7000,ancient ruins,June to September,4.4
36,29,nature,36,Nuwara Eliya,Central Province,9000,tea plantations,March to May,4.6
37,33,relaxation,37,Bentota,Southern Province,12000,beach resorts,December to April,4.3
38,38,photography,38,Sigiriya,Central Province,6500,rock fortress,July to September,4.8
39,27,surfing,39,Arugam Bay,Eastern Province,5500,surf spots,May to September,4.7
40,35,entertainment,40,Colombo,Western Province,4000,city life,year-round,4.6
41,28,cultural charm,41,Kandy,Central Province,10000,temples,January to February,4.8
42,42,beach leisure,42,Mirissa,Southern Province,6000,whale watching,December to April,4.5
43,31,wildlife,43,Yala,Uva Province,8000,safari parks,July to September,4.7
44,25,adventure,44,Ella,Uva Province,5000,hiking trails,March to May,4.9
45,45,history,45,Anuradhapura,North Central,7000,ancient ruins,June to September,4.4
46,29,nature,46,Nuwara Eliya,Central Province,9000,tea plantations,March to May,4.6
47,33,relaxation,47,Bentota,Southern Province,12000,beach resorts,December to April,4.3
48,38,photography,48,Sigiriya,Central Province,6500,rock fortress,July to September,4.8
49,27,surfing,49,Arugam Bay,Eastern Province,5500,surf spots,May to September,4.7
50,35,entertainment,50,Colombo,Western Province,4000,city life,year-round,4.6
51,28,cultural charm,51,Kandy,Central Province,10000,temples,January to February,4.8
52,42,beach leisure,52,Mirissa,Southern Province,6000,whale watching,December to April,4.5
53,31,wildlife,53,Yala,Uva Province,8000,safari parks,July to September,4.7
54,25,adventure,54,Ella,Uva Province,5000,hiking trails,March to May,4.9
55,45,history,55,Anuradhapura,North Central,7000,ancient ruins,June to September,4.4
56,29,nature,56,Nuwara Eliya,Central Province,9000,tea plantations,March to May,4.6
57,33,relaxation,57,Bentota,Southern Province,12000,beach resorts,December to April,4.3
58,38,photography,58,Sigiriya,Central Province,6500,rock fortress,July to September,4.8
59,27,surfing,59,Arugam Bay,Eastern Province,5500,surf spots,May to September,4.7
60,35,entertainment,60,Colombo,Western Province,4000,city life,year-round,4.6
61,28,cultural charm,61,Kandy,Central Province,10000,temples,January to February,4.8
62,42,beach leisure,62,Mirissa,Southern Province,6000,whale watching,December to April,4.5
63,31,wildlife,63,Yala,Uva Province,8000,safari parks,July to September,4.7
64,25,adventure,64,Ella,Uva Province,5000,hiking trails,March to May,4.9
65,45,history,65,Anuradhapura,North Central,7000,ancient ruins,June to September,4.4
66,29,nature,66,Nuwara Eliya,Central Province,9000,tea plantations,March to May,4.6
67,33,relaxation,67,Bentota,Southern Province,12000,beach resorts,December to April,4.3
68,38,photography,68,Sigiriya,Central Province,6500,rock fortress,July to September,4.8
69,27,surfing,69,Arugam Bay,Eastern Province,5500,surf spots,May to September,4.7
70,35,entertainment,70,Colombo,Western Province,4000,city life,year-round,4.6
71,28,cultural charm,71,Kandy,Central Province,10000,temples,January to February,4.8
